Designator,Mid X,Mid Y,Rotation,Layer
A1,476.25,-146.04375,0.0,top
D1,166.6875,-109.58385,90.0,bottom
D10,338.1375,-109.58385,90.0,bottom
D11,357.1875,-109.58385,90.0,bottom
D12,376.2375,-109.58385,90.0,bottom
D13,395.2875,-109.58385,90.0,bottom
D14,414.3375,-109.58385,90.0,bottom
D15,433.3875,-109.58385,90.0,bottom
D16,452.4375,-109.5375,90.0,bottom
D17,166.6875,-128.63385,90.0,bottom
D18,185.7375,-128.63385,90.0,bottom
D19,204.7875,-128.63385,90.0,bottom
D2,185.7375,-109.58385,90.0,bottom
D20,223.8375,-128.63385,90.0,bottom
D21,242.8875,-128.63385,90.0,bottom
D22,261.9375,-128.63385,90.0,bottom
D23,280.9875,-128.63385,90.0,bottom
D24,300.0375,-128.63385,90.0,bottom
D25,319.0875,-128.63385,90.0,bottom
D26,338.1375,-128.63385,90.0,bottom
D27,357.1875,-128.5875,90.0,bottom
D28,376.2375,-128.5875,90.0,bottom
D29,395.2875,-128.63385,90.0,bottom
D3,204.7875,-109.58385,90.0,bottom
D30,433.3875,-128.5875,90.0,bottom
D31,452.4375,-128.63385,90.0,bottom
D32,171.45,-147.68385,90.0,bottom
D33,195.2625,-147.68385,90.0,bottom
D34,214.3125,-147.68385,90.0,bottom
D35,233.3625,-147.68385,90.0,bottom
D36,252.4125,-147.6375,90.0,bottom
D37,271.4625,-147.68385,90.0,bottom
D38,290.5125,-147.6375,90.0,bottom
D39,309.5625,-147.68385,90.0,bottom
D4,223.8375,-109.5375,90.0,bottom
D40,328.6125,-147.6375,90.0,bottom
D41,347.6625,-147.68385,90.0,bottom
D42,366.7125,-147.68385,90.0,bottom
D43,385.7625,-147.68385,90.0,bottom
D44,404.8125,-147.68385,90.0,bottom
D45,428.625,-147.6375,90.0,bottom
D46,452.4375,-147.68385,90.0,bottom
D47,173.83125,-166.73385,90.0,bottom
D48,200.025,-166.73385,90.0,bottom
D49,219.075,-166.73385,90.0,bottom
D5,242.8875,-109.5375,90.0,bottom
D50,238.125,-166.73385,90.0,bottom
D51,257.175,-166.73385,90.0,bottom
D52,276.225,-166.73385,90.0,bottom
D53,295.275,-166.73385,90.0,bottom
D54,314.325,-166.73385,90.0,bottom
D55,333.375,-166.6875,90.0,bottom
D56,352.425,-166.73385,90.0,bottom
D57,371.475,-166.73385,90.0,bottom
D58,390.525,-166.73385,90.0,bottom
D59,433.3875,-166.73385,90.0,bottom
D6,261.9375,-109.58385,90.0,bottom
D60,452.4375,-166.6875,90.0,bottom
D61,190.5,-185.78385,90.0,bottom
D62,209.55,-185.78385,90.0,bottom
D63,228.6,-185.78385,90.0,bottom
D64,247.65,-185.78385,90.0,bottom
D65,266.7,-185.78385,90.0,bottom
D66,285.75,-185.78385,90.0,bottom
D67,304.8,-185.78385,90.0,bottom
D68,323.85,-185.78385,90.0,bottom
D69,342.9,-185.78385,90.0,bottom
D7,280.9875,-109.58385,90.0,bottom
D70,361.95,-185.78385,90.0,bottom
D71,381.0,-185.78385,90.0,bottom
D72,414.3375,-185.78385,90.0,bottom
D73,433.3875,-185.78385,90.0,bottom
D74,452.4375,-185.78385,90.0,bottom
D75,169.06875,-204.83385,90.0,bottom
D76,192.88125,-204.83385,90.0,bottom
D77,216.69375,-204.83385,90.0,bottom
D78,288.13125,-204.83385,90.0,bottom
D79,357.1875,-204.7875,90.0,bottom
D8,300.0375,-109.58385,90.0,bottom
D80,376.2375,-204.7875,90.0,bottom
D81,395.2875,-204.83385,90.0,bottom
D82,414.3375,-204.7875,90.0,bottom
D83,433.3875,-204.83385,90.0,bottom
D84,452.4375,-204.83385,90.0,bottom
D9,319.0875,-109.58385,90.0,bottom
H1,147.6375,-90.4875,0.0,top
H10_2,497.68125,-219.075,180.0,top
H10,433.3875,-176.2125,0.0,top
H2,242.8875,-90.4875,0.0,top
H3,338.1375,-90.4875,0.0,top
H4,414.3375,-90.4875,0.0,top
H5,497.68125,-90.4875,0.0,top
H6,147.6375,-219.075,180.0,top
H7_2,242.8875,-219.075,180.0,top
H7,433.3875,-138.1125,0.0,top
H8,338.1375,-219.075,180.0,top
H9_2,414.3375,-219.075,180.0,top
H9,357.1875,-119.0625,0.0,top
R1,492.91875,-142.875,90.0,top
RGB_STRIP_CONNECTOR1,492.91875,-125.4125,0.0,top
SBACKSPACE1,414.482335,-129.0758,0.0,top
SENTER1,169.213585,-186.2258,0.0,top
SLEFTSHIFT1,412.101085,-167.1758,0.0,top
SSPACE1,278.751085,-205.2758,0.0,top
SW1,157.307335,-107.2758,0.0,top
SW10,328.757335,-107.2758,0.0,top
SW11,347.807335,-107.2758,0.0,top
SW12,366.857335,-107.2758,0.0,top
SW13,385.907335,-107.2758,0.0,top
SW14,404.957335,-107.2758,0.0,top
SW15,424.007335,-107.2758,0.0,top
SW16,443.057335,-107.2758,0.0,top
SW17,157.307335,-126.3258,0.0,top
SW18,176.357335,-126.3258,0.0,top
SW19,195.407335,-126.3258,0.0,top
SW2,176.357335,-107.2758,0.0,top
SW20,214.457335,-126.3258,0.0,top
SW21,233.507335,-126.3258,0.0,top
SW22,252.557335,-126.3258,0.0,top
SW23,271.607335,-126.3258,0.0,top
SW24,290.657335,-126.3258,0.0,top
SW25,309.707335,-126.3258,0.0,top
SW26,328.757335,-126.3258,0.0,top
SW27,347.807335,-126.3258,0.0,top
SW28,366.857335,-126.3258,0.0,top
SW29,385.907335,-126.3258,0.0,top
SW3,195.407335,-107.2758,0.0,top
SW30,414.482335,-126.3258,0.0,top
SW31,443.057335,-126.3258,0.0,top
SW32,162.069835,-145.3758,0.0,top
SW33,185.882335,-145.3758,0.0,top
SW34,204.932335,-145.3758,0.0,top
SW35,223.982335,-145.3758,0.0,top
SW36,243.032335,-145.3758,0.0,top
SW37,262.082335,-145.3758,0.0,top
SW38,281.132335,-145.3758,0.0,top
SW39,300.182335,-145.3758,0.0,top
SW4,214.457335,-107.2758,0.0,top
SW40,319.232335,-145.3758,0.0,top
SW41,338.282335,-145.3758,0.0,top
SW42,357.332335,-145.3758,0.0,top
SW43,376.382335,-145.3758,0.0,top
SW44,395.432335,-145.3758,0.0,top
SW45,419.244835,-145.3758,0.0,top
SW46,443.057335,-145.3758,0.0,top
SW47,164.451085,-164.4258,0.0,top
SW48,190.644835,-164.4258,0.0,top
SW49,209.694835,-164.4258,0.0,top
SW5,233.507335,-107.2758,0.0,top
SW50,228.744835,-164.4258,0.0,top
SW51,247.794835,-164.4258,0.0,top
SW52,266.844835,-164.4258,0.0,top
SW53,285.894835,-164.4258,0.0,top
SW54,304.944835,-164.4258,0.0,top
SW55,323.994835,-164.4258,0.0,top
SW56,343.044835,-164.4258,0.0,top
SW57,362.094835,-164.4258,0.0,top
SW58,381.144835,-164.4258,0.0,top
SW59,412.101085,-164.4258,0.0,top
SW6,252.557335,-107.2758,0.0,top
SW60,443.057335,-164.4258,0.0,top
SW61,169.213585,-183.4758,0.0,top
SW62,200.169835,-183.4758,0.0,top
SW63,219.219835,-183.4758,0.0,top
SW64,238.269835,-183.4758,0.0,top
